OrderID,CurrentClinicName1,CurrentClinicName2,CurrentClinicCity,CurrentClinicState,MedicalDirector,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,ND_IntentRetSingleLB1,ND_IntentRetSingleLB2,ND_IntentRetSingleLB3,ND_IntentRetSingleLB4,ND_NumRetrieve1,ND_NumRetrieve2,ND_NumRetrieve3,ND_NumRetrieve4,ND_RetrieveLB1,ND_RetrieveLB2,ND_RetrieveLB3,ND_RetrieveLB4,ND_RetrieveSingleLB1,ND_RetrieveSingleLB2,ND_RetrieveSingleLB3,ND_RetrieveSingleLB4,ND_NumTrans1,ND_NumTrans2,ND_NumTrans3,ND_NumTrans4,ND_TransLB1,ND_TransLB2,ND_TransLB3,ND_TransLB4,ND_TransSingleLB1,ND_TransSingleLB2,ND_TransSingleLB3,ND_TransSingleLB4,ND_IntentRetPerLB1,ND_IntentRetPerLB2,ND_IntentRetPerLB3,ND_IntentRetPerLB4,NewND_1IntentRetLB1,NewND_1IntentRetLB2,NewND_1IntentRetLB3,NewND_1IntentRetLB4,NewND_2IntentRetLB1,NewND_2IntentRetLB2,NewND_2IntentRetLB3,NewND_2IntentRetLB4,NewND_AllIntentRetLB1,NewND_AllIntentRetLB2,NewND_AllIntentRetLB3,NewND_AllIntentRetLB4,NewND_IntentRetPerNew1,NewND_IntentRetPerNew2,NewND_IntentRetPerNew3,NewND_IntentRetPerNew4,NewND_TransPerIntentRet1,NewND_TransPerIntentRet2,NewND_TransPerIntentRet3,NewND_TransPerIntentRet4,Donor_NumTrans1,Donor_NumTrans2,Donor_NumTrans3,Donor_NumTrans4,Donor_TransLB1,Donor_TransLB2,Donor_TransLB3,Donor_TransLB4,Donor_TranSingleLB1,Donor_TranSingleLB2,Donor_TranSingleLB3,Donor_TranSingleLB4,TotNumCycles1,TotNumCycles2,TotNumCycles3,TotNumCycles4,TotNumCyclesAll,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,CycleCancelAll,CycleStop1,CycleStop2,CycleStop3,CycleStop4,CycleStopAll,CycleFertPres1,CycleFertPres2,CycleFertPres3,CycleFertPres4,CycleFertPresAll,TransCarrier1,TransCarrier2,TransCarrier3,TransCarrier4,TransCarrierAll,TransFrozEmb1,TransFrozEmb2,TransFrozEmb3,TransFrozEmb4,TransFrozEmbAll,TransICSI1,TransICSI2,TransICSI3,TransICSI4,TransICSIAll,TransPGT1,TransPGT2,TransPGT3,TransPGT4,TransPGTAll,ReasonMale,ReasonEndo,ReasonTubal,ReasonOvul,ReasonUterine,ReasonPGT,ReasonCarrier,ReasonDOR,ReasonBank,ReasonPregLoss,ReasonOtherInfert,ReasonNonInfert,ReasonUnexplained,DonorEggService,DonatedEmbryoService,EmbryoCryoService,EggCryoService,GestCarrierService,SARTmember,LabAccred,NumResearch,CurrentStateAbbrev
120,ASSISTED FERTILITY PROGRAM,,JACKSONVILLE,FLORIDA,"Marwan M. Shaykh, MD",24,12,12,*,33.3%,* / 12,* / 12,0 / *,29.2%,* / 12,* / 12,0 / *,24,10,12,*,33.3%,* / 10,* / 12,0 / *,29.2%,* / 10,* / 12,0 / *,32,10,12,*,25.0%,* / 10,* / 12,0 / *,21.9%,* / 10,* / 12,0 / *,3.0,4.0,4.0,,35.0%,* / 10,* / 8,0 / *,35.0%,* / 10,* / 8,0 / *,35.0%,* / 10,* / 8,0 / *,1.1,1.1,1.3,2.0,1.4,0.8,1.0,0.5,6,0,9,*,* / 6,,* / 9,0 / *,* / 6,,* / 9,0 / *,47,42,12,20,121,4.2%,0.0%,0 / *,0 / 10,1.6%,4.3%,4.8%,0 / 12,5.0%,4.2%,0.0%,0.0%,0 / 12,0.0%,0.0%,0.0%,0.0%,0 / 11,* / 18,1.1%,69.7%,60.0%,9 / 11,10 / 18,65.2%,39.4%,50.0%,* / 11,9 / 18,44.6%,6.1%,6.7%,0 / 11,* / 18,5.4%,26%,7%,21%,15%,2%,2%,0%,16%,18%,4%,8%,12%,11%,Yes,Yes,Yes,Yes,Yes,No,Yes,0,FL
121,BROWN FERTILITY,,JACKSONVILLE,FLORIDA,"Samuel E. Brown, MD",153,77,70,41,55.6%,45.5%,31.4%,4.9%,42.5%,39.0%,24.3%,4.9%,148,75,68,36,57.4%,46.7%,32.4%,5.6%,43.9%,40.0%,25.0%,5.6%,191,104,85,37,44.5%,33.7%,25.9%,5.4%,34.0%,28.8%,20.0%,5.4%,1.8,2.2,3.2,20.5,54.2%,40.0%,26.5%,8.3%,57.6%,40.0%,30.6%,8.3%,57.6%,40.0%,30.6%,8.3%,1.1,1.1,1.1,1.1,1.2,1.3,1.2,0.8,23,11,45,67,39.1%,7 / 11,40.0%,28.4%,34.8%,6 / 11,31.1%,20.9%,362,175,159,187,883,1.1%,2.3%,5.3%,5.6%,2.8%,1.1%,1.2%,1.9%,2.7%,1.6%,1.4%,0.0%,1.3%,0.0%,0.8%,1.4%,0.0%,0.8%,5.0%,1.8%,59.5%,59.0%,61.7%,67.3%,61.5%,100.0%,100.0%,100.0%,100.0%,100.0%,5.6%,9.7%,10.9%,15.7%,9.7%,23%,15%,22%,30%,1%,10%,<1%,38%,17%,3%,30%,1%,3%,Yes,Yes,Yes,Yes,Yes,No,No,0,FL
122,FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,,JACKSONVILLE,FLORIDA,"Kevin L. Winslow, MD",224,116,83,36,38.8%,31.9%,18.1%,13.9%,33.5%,31.0%,16.9%,13.9%,207,109,76,33,42.0%,33.9%,19.7%,15.2%,36.2%,33.0%,18.4%,15.2%,212,91,42,11,41.0%,40.7%,35.7%,5 / 11,35.4%,39.6%,33.3%,5 / 11,2.6,3.1,5.5,7.2,43.8%,31.6%,23.1%,4.8%,48.8%,39.5%,23.1%,14.3%,49.4%,39.5%,23.1%,19.0%,1.2,1.2,1.2,1.4,1.0,0.8,0.5,0.3,*,28,35,50,* / *,39.3%,37.1%,34.0%,* / *,39.3%,37.1%,32.0%,482,272,267,173,"1,194",10.1%,8.9%,19.2%,15.7%,12.9%,3.5%,6.5%,7.9%,10.0%,6.1%,3.3%,4.8%,3.0%,2.9%,3.5%,0.4%,1.3%,0.0%,2.3%,0.8%,95.2%,93.3%,84.9%,83.0%,90.9%,92.0%,88.7%,84.1%,73.9%,87.0%,41.2%,50.7%,42.1%,30.7%,42.2%,43%,10%,11%,13%,2%,3%,<1%,33%,47%,4%,15%,<1%,12%,Yes,Yes,Yes,Yes,Yes,No,Yes,0,FL
123,"REPRODUCTIVE MEDICINE ASSOCIATES OF FLORIDA, LLC",,LAKE MARY,FLORIDA,"George Patounakis, MD, PhD",24,12,14,5,58.3%,9 / 12,9 / 14,0 / 5,58.3%,9 / 12,9 / 14,0 / 5,23,11,14,*,60.9%,9 / 11,9 / 14,0 / *,60.9%,9 / 11,9 / 14,0 / *,33,11,11,0,42.4%,9 / 11,9 / 11,,42.4%,9 / 11,9 / 11,,1.7,1.3,1.6,,12 / 18,8 / 10,5 / 8,0 / *,12 / 18,8 / 10,6 / 8,0 / *,12 / 18,8 / 10,6 / 8,0 / *,1.0,1.0,1.1,1.0,1.7,0.9,0.9,0.0,0,0,7,0,,,* / 7,,,,* / 7,,96,66,41,23,226,5.3%,0.0%,3.6%,* / 13,5.2%,6.4%,7.6%,7.5%,10.0%,7.3%,1.0%,7.6%,14.6%,0.0%,5.3%,0.0%,0.0%,* / 13,0 / 10,0.9%,100.0%,100.0%,13 / 13,10 / 10,100.0%,93.0%,100.0%,13 / 13,6 / 10,92.7%,89.5%,100.0%,13 / 13,6 / 10,90.9%,34%,13%,13%,18%,2%,2%,0%,16%,51%,11%,3%,2%,21%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
124,IVF FLORIDA REPRODUCTIVE ASSOCIATES,,MARGATE,FLORIDA,"David I. Hoffman, MD",305,198,196,210,52.5%,37.9%,27.0%,9.0%,51.8%,37.9%,26.5%,9.0%,278,173,162,164,57.6%,43.4%,32.7%,11.6%,56.8%,43.4%,32.1%,11.6%,270,149,86,44,59.3%,50.3%,61.6%,43.2%,58.5%,50.3%,60.5%,43.2%,1.9,2.6,3.7,11.1,60.7%,43.4%,27.8%,8.4%,68.4%,49.6%,35.1%,9.6%,68.9%,51.2%,40.2%,13.3%,1.2,1.2,1.4,1.6,0.9,0.8,0.5,0.2,0,0,125,*,,,54.4%,* / *,,,54.4%,* / *,581,371,393,375,"1,720",8.6%,7.0%,13.3%,10.8%,9.9%,7.2%,9.8%,14.3%,21.1%,12.4%,4.8%,6.2%,4.8%,2.7%,4.7%,1.4%,2.9%,4.4%,4.7%,3.1%,99.6%,100.0%,98.7%,99.4%,99.5%,53.6%,55.8%,55.7%,31.0%,49.6%,42.5%,59.9%,60.1%,36.3%,48.5%,24%,6%,13%,16%,4%,26%,1%,31%,39%,2%,65%,2%,1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
125,VIERA FERTILITY CENTER,,MELBOURNE,FLORIDA,"Diran J. Chamoun, MD",23,18,20,8,34.8%,7 / 18,15.0%,0 / 8,30.4%,7 / 18,15.0%,0 / 8,23,14,19,5,34.8%,7 / 14,* / 19,0 / 5,30.4%,7 / 14,* / 19,0 / 5,24,11,12,*,33.3%,7 / 11,* / 12,0 / *,29.2%,7 / 11,* / 12,0 / *,2.9,2.6,6.7,,5 / 16,6 / 13,* / 12,0 / 5,5 / 16,6 / 13,* / 12,0 / 5,5 / 16,6 / 13,* / 12,0 / 5,1.1,1.3,1.3,1.4,1.0,0.6,0.5,0.1,0,5,12,*,,* / 5,* / 12,* / *,,* / 5,* / 12,* / *,62,33,45,24,164,3.2%,* / 18,8.0%,0 / 8,7.3%,14.8%,3.3%,11.6%,4.2%,10.1%,1.6%,12.1%,0.0%,0.0%,3.0%,9.1%,* / 17,5.0%,* / 16,9.3%,90.9%,14 / 17,90.0%,11 / 16,84.9%,97.0%,13 / 17,85.0%,10 / 16,83.7%,39.4%,9 / 17,70.0%,6 / 16,48.8%,45%,11%,14%,25%,20%,10%,0%,27%,38%,7%,61%,15%,4%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
126,"FERTILITY & IVF CENTER OF MIAMI, INC.",,MIAMI,FLORIDA,"Fernando Akerman, MD",59,50,62,68,54.2%,22.0%,22.6%,7.4%,47.5%,22.0%,22.6%,7.4%,56,46,56,57,57.1%,23.9%,25.0%,8.8%,50.0%,23.9%,25.0%,8.8%,66,32,35,15,48.5%,34.4%,40.0%,5 / 15,42.4%,34.4%,40.0%,5 / 15,1.8,4.5,4.4,13.6,52.4%,23.3%,26.7%,8.3%,61.9%,26.7%,33.3%,12.5%,61.9%,26.7%,33.3%,12.5%,1.1,1.2,1.3,1.4,1.1,0.7,0.6,0.2,0,0,42,*,,,52.4%,0 / *,,,50.0%,0 / *,138,138,134,166,576,6.3%,7.1%,6.2%,11.0%,7.8%,5.2%,9.8%,20.2%,27.6%,16.2%,2.9%,11.6%,6.0%,3.6%,5.9%,8.6%,4.8%,8.9%,23.6%,11.8%,87.7%,79.0%,80.4%,93.1%,85.6%,96.3%,93.5%,87.5%,75.0%,88.2%,88.9%,80.6%,82.1%,84.7%,84.5%,41%,6%,22%,10%,13%,81%,5%,29%,43%,4%,89%,29%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
127,UNIVERSITY OF MIAMI INFERTILITY CENTER,,MIAMI,FLORIDA,"George R. Attia, MD",73,44,28,27,49.3%,22.7%,17.9%,7.4%,41.1%,18.2%,7.1%,7.4%,71,40,28,24,50.7%,25.0%,17.9%,8.3%,42.3%,20.0%,7.1%,8.3%,83,33,24,17,43.4%,30.3%,20.8%,* / 17,36.1%,24.2%,8.3%,* / 17,2.0,4.4,5.6,13.5,49.2%,23.5%,14.3%,0 / 13,50.8%,26.5%,14.3%,0 / 13,50.8%,26.5%,14.3%,0 / 13,1.0,1.1,1.0,1.0,1.2,0.8,0.9,0.5,0,0,12,0,,,5 / 12,,,,5 / 12,,94,77,48,48,267,3.6%,0.0%,9.1%,19.2%,6.4%,2.2%,6.5%,6.7%,11.6%,5.8%,6.4%,9.1%,4.2%,0.0%,5.6%,6.3%,2.4%,0.0%,0.0%,2.7%,77.1%,76.2%,50.0%,64.3%,69.2%,93.8%,95.2%,92.9%,67.9%,89.0%,45.8%,42.9%,21.4%,28.6%,37.0%,29%,1%,21%,10%,1%,2%,0%,18%,36%,2%,12%,0%,11%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,FL
128,"NEW LEADERS IN FERTILITY & ENDOCRINOLOGY, LLC",,PENSACOLA,FLORIDA,"Barry A. Ripps, MD",92,31,11,6,53.3%,38.7%,7 / 11,* / 6,45.7%,32.3%,7 / 11,* / 6,85,28,11,*,57.6%,42.9%,7 / 11,* / *,49.4%,35.7%,7 / 11,* / *,128,36,12,5,38.3%,33.3%,7 / 12,* / 5,32.8%,27.8%,7 / 12,* / 5,1.9,2.6,1.6,3.0,53.3%,33.3%,6 / 8,* / *,58.7%,38.1%,6 / 8,* / *,58.7%,38.1%,6 / 8,* / *,1.1,1.1,1.0,1.0,1.4,1.2,1.3,0.5,0,8,*,*,,5 / 8,* / *,* / *,,5 / 8,* / *,* / *,185,57,27,27,296,7.7%,0.0%,0 / 12,0 / 13,4.8%,16.4%,12.3%,7.4%,7.4%,13.9%,1.1%,0.0%,0.0%,0.0%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,50.4%,37.8%,59.1%,33.3%,46.9%,98.5%,97.8%,90.9%,75.0%,95.2%,2.9%,4.4%,4.5%,0.0%,3.1%,50%,16%,27%,18%,1%,1%,0%,38%,7%,5%,2%,1%,6%,No,No,Yes,Yes,No,Yes,Yes,0,FL
129,FERTILITY CENTER & APPLIED GENETICS OF FLORIDA,,SARASOTA,FLORIDA,"Julio E. Pabon, MD",40,24,24,15,50.0%,25.0%,37.5%,0 / 15,50.0%,25.0%,33.3%,0 / 15,38,20,23,13,52.6%,30.0%,39.1%,0 / 13,52.6%,30.0%,34.8%,0 / 13,29,9,13,*,69.0%,6 / 9,9 / 13,0 / *,69.0%,6 / 9,8 / 13,0 / *,2.0,4.0,2.7,,48.3%,* / 10,8 / 17,0 / *,58.6%,* / 10,9 / 17,0 / *,58.6%,* / 10,9 / 17,0 / *,1.2,1.3,1.2,1.5,0.7,0.4,0.7,0.2,0,0,15,*,,,9 / 15,* / *,,,8 / 15,* / *,108,51,30,45,234,4.4%,* / 19,* / 16,11.5%,11.3%,9.4%,10.4%,7.7%,7.1%,9.0%,0.9%,0.0%,3.3%,0.0%,0.9%,5.5%,7.4%,* / 12,5 / 18,9.8%,98.2%,100.0%,12 / 12,18 / 18,99.1%,89.1%,92.6%,11 / 12,15 / 18,89.3%,92.7%,100.0%,12 / 12,18 / 18,96.4%,32%,4%,8%,4%,8%,95%,6%,46%,98%,2%,19%,7%,10%,Yes,Yes,Yes,Yes,Yes,No,No,0,FL
130,IVFMD/SOUTH FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,,SOUTH MIAMI,FLORIDA,"Juergen Eisermann, MD",313,219,236,150,53.7%,42.9%,23.7%,9.3%,52.1%,42.5%,22.5%,8.0%,300,204,201,113,56.0%,46.1%,27.9%,12.4%,54.3%,45.6%,26.4%,10.6%,282,168,118,37,59.6%,56.0%,47.5%,37.8%,57.8%,55.4%,44.9%,32.4%,1.9,2.3,4.2,10.7,55.8%,43.1%,28.4%,8.9%,58.1%,49.7%,32.3%,12.7%,58.4%,51.0%,32.9%,12.7%,1.1,1.2,1.2,1.3,0.9,0.8,0.5,0.2,8,59,56,*,6 / 8,49.2%,39.3%,* / *,6 / 8,49.2%,37.5%,* / *,651,486,432,357,"1,926",7.0%,10.7%,12.2%,13.6%,10.3%,7.8%,8.6%,12.7%,18.0%,10.9%,6.8%,5.8%,6.3%,2.0%,5.5%,1.0%,1.5%,4.6%,2.3%,2.1%,94.7%,93.1%,90.9%,66.3%,87.8%,85.8%,88.7%,86.3%,72.1%,83.8%,52.6%,58.6%,71.4%,40.1%,55.4%,47%,10%,13%,15%,3%,52%,1%,33%,51%,5%,66%,1%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
131,THE REPRODUCTIVE MEDICINE GROUP,,TAMPA,FLORIDA,"Timothy R. Yeko, MD",178,106,119,61,47.8%,33.0%,31.9%,13.1%,46.6%,31.1%,29.4%,13.1%,159,95,102,57,53.5%,36.8%,37.3%,14.0%,52.2%,34.7%,34.3%,14.0%,168,80,69,17,50.6%,43.8%,55.1%,8 / 17,49.4%,41.3%,50.7%,8 / 17,2.1,3.0,3.1,7.6,51.0%,32.4%,30.4%,12.1%,53.7%,33.8%,35.4%,15.2%,54.4%,33.8%,36.7%,15.2%,1.1,1.1,1.2,1.2,1.0,0.8,0.6,0.3,*,*,91,5,* / *,* / *,39.6%,* / 5,* / *,* / *,38.5%,* / 5,394,292,221,215,"1,122",1.7%,4.0%,7.1%,5.8%,4.1%,8.2%,9.8%,9.8%,14.8%,10.2%,1.5%,3.1%,0.9%,1.4%,1.8%,1.0%,0.0%,2.7%,2.7%,1.4%,97.6%,99.3%,99.1%,96.4%,98.1%,93.2%,92.5%,90.2%,82.0%,90.3%,82.9%,89.1%,90.2%,73.9%,84.2%,26%,6%,15%,12%,2%,2%,1%,12%,42%,7%,5%,2%,23%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
132,SHADY GROVE FERTILITY TAMPA BAY,,TAMPA,FLORIDA,"Celso P. Silva, MD",45,48,25,24,55.6%,35.4%,16.0%,4.2%,55.6%,35.4%,12.0%,4.2%,42,44,19,23,59.5%,38.6%,* / 19,4.3%,59.5%,38.6%,* / 19,4.3%,53,42,12,7,47.2%,40.5%,* / 12,* / 7,47.2%,40.5%,* / 12,* / 7,1.8,2.8,6.3,24.0,60.0%,44.0%,* / 17,* / 14,65.7%,44.0%,* / 17,* / 14,65.7%,48.0%,* / 17,* / 14,1.1,1.5,1.5,1.5,1.2,0.8,0.5,0.3,*,5,35,*,* / *,* / 5,57.1%,0 / *,* / *,* / 5,48.6%,0 / *,297,222,170,165,854,2.6%,7.0%,7.3%,11.5%,6.5%,14.0%,13.6%,11.7%,18.8%,14.3%,4.4%,5.0%,3.5%,0.6%,3.6%,2.6%,1.9%,8.1%,6.2%,3.9%,85.8%,89.3%,85.5%,80.0%,85.7%,72.3%,69.9%,61.3%,47.7%,65.7%,34.2%,52.4%,54.8%,41.5%,43.6%,21%,5%,8%,7%,3%,13%,1%,18%,39%,4%,38%,3%,22%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
133,F.I.R.S.T.,FLORIDA INSTITUTE FOR REPRODUCTIVE SCIENCES AND TECHNOLOGIES,WESTON,FLORIDA,"Minna R. Selub, MD",25,14,19,13,32.0%,* / 14,* / 19,0 / 13,24.0%,* / 14,* / 19,0 / 13,25,12,18,10,32.0%,* / 12,* / 18,0 / 10,24.0%,* / 12,* / 18,0 / 10,23,13,16,6,34.8%,* / 13,* / 16,0 / 6,26.1%,* / 13,* / 16,0 / 6,3.1,3.5,19.0,,* / 13,* / *,* / 12,0 / 6,* / 13,* / *,* / 12,0 / 6,6 / 13,* / *,* / 12,0 / 6,1.7,1.5,1.1,1.5,1.0,0.7,0.7,0.6,*,*,52,0,* / *,0 / *,25.0%,,* / *,0 / *,21.2%,,60,21,52,74,207,5.0%,0 / 15,6.1%,16.7%,7.6%,12.1%,0.0%,10.0%,8.7%,9.1%,10.0%,23.8%,3.8%,0.0%,6.3%,16.7%,* / 8,0.0%,15.6%,11.9%,83.3%,6 / 8,75.0%,93.3%,85.1%,66.7%,7 / 8,75.0%,71.1%,72.3%,33.3%,* / 8,41.7%,64.4%,49.5%,19%,3%,19%,29%,11%,14%,3%,43%,38%,11%,78%,7%,<1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
134,"ADVANCED REPRODUCTIVE SPECIALISTS, LLC",,WINTER PARK,FLORIDA,"Melissa M. Yates, MD",8,9,*,6,5 / 8,* / 9,* / *,0 / 6,5 / 8,* / 9,* / *,0 / 6,7,5,*,6,5 / 7,* / 5,* / *,0 / 6,5 / 7,* / 5,* / *,0 / 6,5,7,*,*,5 / 5,* / 7,* / *,0 / *,5 / 5,* / 7,* / *,0 / *,1.6,3.0,4.0,,* / 5,* / 8,* / *,0 / *,* / 5,* / 8,* / *,0 / *,* / 5,* / 8,* / *,0 / *,1.0,1.0,1.5,1.3,0.8,0.9,0.3,0.2,0,*,*,0,,* / *,* / *,,,* / *,* / *,,17,25,11,8,61,0 / 9,* / 12,* / 7,0 / *,17.2%,* / 17,14.3%,0 / 10,* / 8,10.7%,0 / 17,8.0%,0 / 11,0 / 8,3.3%,0 / 10,0 / 13,0 / 5,0 / 5,0.0%,8 / 10,10 / 13,* / 5,* / 5,75.8%,7 / 10,6 / 13,5 / 5,* / 5,66.7%,* / 10,* / 13,* / 5,* / 5,21.2%,25%,20%,13%,15%,10%,0%,0%,38%,36%,2%,0%,0%,8%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,FL
135,"CENTER FOR REPRODUCTIVE MEDICINE, PA",,WINTER PARK,FLORIDA,"Randall A. Loy, MD",166,114,118,102,40.4%,23.7%,17.8%,5.9%,38.6%,23.7%,16.9%,5.9%,151,100,95,73,44.4%,27.0%,22.1%,8.2%,42.4%,27.0%,21.1%,8.2%,137,76,43,21,48.9%,35.5%,48.8%,28.6%,46.7%,35.5%,46.5%,28.6%,2.5,4.2,5.6,17.0,41.4%,25.4%,19.0%,4.3%,47.4%,26.9%,25.9%,6.5%,48.3%,29.9%,27.6%,6.5%,1.3,1.2,1.3,1.6,0.8,0.8,0.4,0.1,0,18,48,*,,8 / 18,41.7%,* / *,,8 / 18,41.7%,* / *,428,368,252,273,"1,321",12.0%,15.0%,11.0%,25.8%,15.6%,14.3%,17.9%,23.1%,32.9%,20.6%,4.0%,4.3%,3.6%,0.7%,3.3%,3.6%,3.4%,2.0%,5.4%,3.5%,91.1%,95.9%,91.0%,77.4%,90.0%,84.6%,83.7%,87.0%,62.4%,80.7%,34.9%,53.1%,67.0%,45.2%,48.3%,22%,12%,11%,34%,3%,7%,1%,33%,36%,4%,23%,1%,3%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,FL
136,THE IVF CENTER,,WINTER PARK,FLORIDA,"Mark P. Trolice, MD",49,39,37,11,53.1%,46.2%,29.7%,* / 11,51.0%,41.0%,21.6%,* / 11,48,31,31,6,54.2%,58.1%,35.5%,* / 6,52.1%,51.6%,25.8%,* / 6,66,37,26,5,39.4%,48.6%,42.3%,* / 5,37.9%,43.2%,30.8%,* / 5,1.9,2.2,3.4,5.5,55.8%,59.3%,34.8%,* / 8,58.1%,63.0%,39.1%,* / 8,58.1%,63.0%,43.5%,* / 8,1.0,1.0,1.3,1.0,1.4,1.1,0.7,0.3,0,*,*,0,,* / *,* / *,,,* / *,* / *,,109,70,65,43,287,19.0%,24.1%,22.2%,55.0%,27.1%,17.8%,28.6%,25.4%,34.4%,24.3%,0.0%,0.0%,0.0%,2.3%,0.3%,0.0%,0.0%,0.0%,0 / 18,0.0%,92.5%,80.0%,74.3%,5 / 18,76.5%,47.2%,46.7%,60.0%,11 / 18,52.2%,0.0%,3.3%,2.9%,0 / 18,1.5%,35%,6%,8%,21%,0%,9%,0%,38%,21%,9%,11%,1%,5%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
137,ATLANTA CENTER FOR REPRODUCTIVE MEDICINE,,ATLANTA,GEORGIA,"Kathryn C. Calhoun, MD",298,197,174,121,55.0%,45.7%,30.5%,8.3%,51.0%,41.1%,29.9%,7.4%,279,181,156,92,58.8%,49.7%,34.0%,10.9%,54.5%,44.8%,33.3%,9.8%,277,163,91,21,59.2%,55.2%,58.2%,47.6%,54.9%,49.7%,57.1%,42.9%,1.8,2.2,3.3,12.1,61.2%,44.9%,35.6%,6.3%,68.7%,55.9%,44.6%,11.1%,69.2%,57.5%,45.5%,11.1%,1.2,1.2,1.3,1.4,1.0,0.8,0.5,0.1,0,0,107,0,,,52.3%,,,,48.6%,,698,501,413,259,"1,871",4.0%,4.0%,14.2%,12.1%,7.6%,6.9%,9.8%,11.3%,16.8%,9.9%,5.3%,6.2%,4.6%,4.6%,5.3%,1.4%,3.6%,3.2%,6.5%,3.1%,97.7%,96.4%,95.7%,97.6%,96.9%,93.4%,88.5%,82.7%,45.2%,83.3%,81.1%,82.6%,88.1%,74.2%,82.0%,17%,5%,10%,14%,5%,38%,1%,15%,38%,6%,51%,5%,17%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,GA
138,EMORY REPRODUCTIVE CENTER,,ATLANTA,GEORGIA,"Jennifer F. Kawwass, MD",162,101,78,59,53.7%,39.6%,28.2%,15.3%,51.2%,37.6%,28.2%,11.9%,147,92,68,48,59.2%,43.5%,32.4%,18.8%,56.5%,41.3%,32.4%,14.6%,175,83,57,29,49.7%,48.2%,38.6%,31.0%,47.4%,45.8%,38.6%,24.1%,1.9,2.5,3.5,6.6,56.3%,42.9%,25.5%,13.3%,64.3%,47.6%,29.8%,20.0%,65.1%,50.8%,29.8%,20.0%,1.2,1.3,1.2,1.3,1.1,0.8,0.6,0.5,*,15,12,*,* / *,8 / 15,6 / 12,* / *,* / *,8 / 15,6 / 12,* / *,345,219,182,122,868,5.9%,11.0%,10.0%,28.4%,11.0%,19.2%,11.8%,15.8%,21.4%,16.9%,15.7%,21.0%,23.1%,10.7%,17.9%,2.9%,4.0%,3.8%,1.7%,3.2%,71.7%,71.3%,73.1%,52.5%,69.1%,85.0%,80.2%,85.9%,84.7%,83.9%,13.3%,32.7%,42.3%,25.4%,25.3%,27%,8%,14%,10%,10%,12%,1%,22%,34%,5%,29%,19%,9%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,GA
139,PATHWAYS FERTILITY,PATHWAYS FERTILITY,ATLANTA,GEORGIA,"Nestor E Dourron, MD",0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,*,10,0,* / *,0 / *,* / 10,,* / *,0 / *,* / 10,,62,41,37,58,198,2.9%,0.0%,0 / 16,9.7%,3.9%,23.0%,26.8%,8.1%,27.3%,22.2%,1.6%,0.0%,0.0%,5.2%,2.0%,3.4%,0.0%,0.0%,10.0%,4.0%,96.6%,100.0%,95.5%,83.3%,93.1%,72.4%,80.0%,63.6%,46.7%,64.4%,24.1%,30.0%,22.7%,0.0%,17.8%,15%,1%,26%,15%,2%,11%,2%,24%,30%,3%,15%,0%,7%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,GA
